timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4
20260206_194841,trapped,-0.23500000000000001,2.5,4,0,115.0,135.0,4,0.8627019960723993,-845.9377197884573,0.21227976830526576,-0.022080138892891347,121.83520871402831,0.2566875555911884,-0.013356233133472202,120.08816857833138,1.2713631884716663,-0.029110910418049488,123.05699604139386,0.6056764784048505,-0.028702350846730403,124.89312296393807,0.9618506244907252
20260206_214047,lost,-0.23500000000000001,2.5,5,0,136.0,156.0,4,0.8194308641914222,-706.495541909516,0.03987410348907147,0.05337000796398774,146.20662264320285,0.46851539838942613,0.06554622854629469,143.01846255921524,1.678788551966541,0.03554726345972544,136.0055781913008,0.2500000000001677,0.015363695926632366,148.510019371315,1.077600229794208
20260206_214047,trapped,-0.23500000000000001,2.5,5,0,136.0,156.0,3,0.7274752126626554,-628.7487803189339,0.2692416081853318,-0.07363269542262282,146.0445388262363,1.3987646945232246,-0.04894933634066992,137.6850266413684,0.9965718963654583,-0.07722933477576194,142.26683509154003,1.4683239737526803,,,
20260206_215409,lost,-0.23500000000000001,2.5,0,1,31.0,51.0,4,0.9025960761544415,-762.0809961132285,0.03544289497171679,0.03917233956753943,40.37369403111062,0.3086309650160148,0.09490683483584425,41.44246320911257,0.48613724501617134,0.030395275985483118,39.38863632477389,0.26209143783066474,0.027639965538228832,37.811133843762036,1.7638689202075755
20260206_215409,trapped,-0.23500000000000001,2.5,0,1,31.0,51.0,3,0.6793109594672727,-619.0835956653962,0.2749791419614193,-0.08511846922462361,41.483706770070036,0.6442257870541103,-0.05591679249693383,38.91970938067294,1.6820671570994643,-0.04443760672709639,30.618738401598392,0.990872806152412,,,
20260206_220817,lost,-0.23500000000000001,2.5,1,1,52.0,72.0,2,0.9412194563810606,-731.6340995519826,0.035086765471474136,0.08265145815433719,59.61316234463873,2.2735391868195025,0.1026921070482862,62.327638107811936,0.5944244739766134,,,,,,
20260206_220817,trapped,-0.23500000000000001,2.5,1,1,52.0,72.0,3,0.7641469996984204,-614.4658580767067,0.2694045085600909,-0.06580702817484788,62.79988656075067,0.25000000000000006,-0.05735071655525189,58.38953368831278,1.5295297009234927,-0.10163835713152465,61.956936985816036,0.9676749558708444,,,
20260206_222126,lost,-0.23500000000000001,2.5,2,1,73.0,93.0,2,0.9085074109228811,-756.9668546633119,0.03496874978979372,0.04665763426912577,82.85735027834475,0.25000000000000006,0.07206331164741984,81.608623435533,1.7678224556481288,,,,,,
20260206_222126,trapped,-0.23500000000000001,2.5,2,1,73.0,93.0,1,0.6258973188966156,-608.2802692323969,0.26960098277594685,-0.08177766240911301,81.756182060184,2.523745192368164,,,,,,,,,
20260206_223430,lost,-0.23500000000000001,2.5,3,1,94.0,114.0,2,0.9388068383994329,-798.9122665506322,0.030250547308321527,0.05470643323858408,104.67596625192623,0.5836430044395138,0.0566174325181459,103.42722635401776,1.4371100190781319,,,,,,
20260206_223430,trapped,-0.23500000000000001,2.5,3,1,94.0,114.0,2,0.8207955397941765,-682.361711090214,0.2641161319175198,-0.05649811968923745,103.76380633836267,1.44135696238441,-0.0830128961330621,104.79130926371187,0.42924099306128,,,,,,
20260206_224753,lost,-0.23500000000000001,2.5,4,1,115.0,135.0,4,0.9041298460177073,-864.6309312214534,-0.1465093787813135,0.022015529366738444,124.91652839675876,1.105256200719384,0.02201716516214567,122.02190422002921,1.855778288971401,0.016221597018109785,123.1032138182868,0.25000000000000006,0.17131027675525973,111.98639240497288,83.50226190342042
20260206_224753,trapped,-0.23500000000000001,2.5,4,1,115.0,135.0,3,0.7051787232635667,-698.5475704798564,0.2753591648743535,-0.036509212801774264,121.72215029652095,1.9083254778225847,-0.04095741331145791,123.73756623614953,0.25000000000000006,-0.042163267685978036,125.18245539525039,0.7571483648525225,,,
20260206_231411,lost,-0.23500000000000001,2.5,5,1,136.0,156.0,2,0.9380140485598629,-853.9108412018181,0.017359855772508127,0.051438439898669086,146.94164098465455,0.29477684904409374,0.054378118338714046,143.25735705173474,1.5411038667123202,,,,,,
